Name,Id,City,Zipcode,Address,Website,Email,Phone,Company Type,Postal Address, description,Twitter, Linkedin, Lognitude,Latitude,,,,,,,,,,,,
Pno Belastingadvies,33764,Berkel en Rodenrijs,2652XV,Braillestraat,http://www.pno-belastingadvies.nl/,info@pno-belastingadvies.nl,010-8208805,consultant,None,"b""\r\n\r\n<b>PNO\r\nBelastingadvies heeft als primair aandachtsgebied de Nederlandse MKB en is\r\ngespecialiseerd </b>\r\n\r\n<b>in\r\nhet op maat ondersteunen van kleine(re) bedrijven en zelfstandige ondernemers. </b>\r\n\r\n<b>Onze\r\nklanten vari\xc3\xabren van winkeliers en horecaondernemers tot aan ICT professionals\r\nen consultants. Verder ondersteunen wij administratie- en accountantskantoren\r\nmet fiscaal advies en hebben wij veel ervaring met het begeleiden van bedrijven\r\ndie zaken doen in het buitenland. Ons kantoor is verregaand gedigitaliseerd wat inhoud dat wij zo veel mogelijk papierloos werken en het liefst met digitale bestanden van klanten. Dit maakt het ideaal om onze klanten ook op afstand optimaal te kunnen bedienen. Uiteraard blijven klanten met een papieren administratie bij ons welkom. Wel zullen wij hen proberen te overtuigen van de voordelen en gemak van het digitaal werken en administreren.</b>\r\n<b>ONZE\r\nDIENSTVERLENING:</b>\r\n\r\n\r\n\r\n<b>Boekhouding</b>\r\n\r\n\xe2\x80\xa2 tijdig en correct verwerken van financi\xc3\xable administraties\r\n\r\n\xe2\x80\xa2 advies en begeleiding voor klanten die de administratie zelf\r\nwillen uitvoeren\r\n\r\n\xe2\x80\xa2 advies omtrent het inrichten van administraties\r\n\r\n\r\n\r\n<b>Jaarrekeningen\r\nen rapportages</b>\r\n\r\n\xe2\x80\xa2 opstellen van jaarrekeningen op basis van de administratie\r\n\r\n\xe2\x80\xa2 opstellen van tussentijdse rapportages en liquiditeitsprognoses\r\n(die bijvoorbeeld nodig zijn\r\n\r\n&nbsp; voor voorgenomen\r\ninvesteringen en uitbreidingen).\r\n\r\n\xe2\x80\xa2 accountantsverklaring\r\n<b>Salarisadministratie</b>\r\n\r\n\xe2\x80\xa2 tijdige en correcte salarisstroken\r\n\r\n\xe2\x80\xa2 beantwoorden van vragen omtrent salarissen en personeelsmanagement\r\n\r\n&nbsp; ( zoals\r\narbeidsovereenkomsten arbeidsbeloningen en outplacement)\r\n\r\n\xe2\x80\xa2 advisering op het gebied van beloning van personeel en\r\nwerknemersparticipatie\r\n\r\n&nbsp; (inclusief\r\nfiscale aandachtspunten)\r\n\r\n\r\n\r\n<b>Fiscale\r\ndienstverlening</b>\r\n\r\n\xe2\x80\xa2 verzorgen van belastingaangiften zoals:\r\n\r\n&nbsp; inkomstenbelasting vennootschapsbelasting erfbelasting BTW\r\nloonbelasting\r\n\r\n\xe2\x80\xa2 fiscale advisering met bijzondere aandacht voor ondernemers uit\r\nhet MKB en \r\n\r\n&nbsp; directeurgrootaandeelhouders\r\n(DGA).\r\n\r\n\xe2\x80\xa2 begeleiden van de oprichting van bedrijven zoals B.V.\xe2\x80\x99s\r\n\r\n\xe2\x80\xa2 opzetten van samenwerkingsverbanden zoals VOF's maatschappen en\r\nC.V.\xe2\x80\x99s\r\n\r\n\xe2\x80\xa2 begeleiding van bedrijfsopvolging en bedrijfsoverdracht\r\n\r\n\xe2\x80\xa2 fiscaal optimaliseren van de structuur van bedrijven en de relatie\r\nmet de DGA\r\n\r\n\xe2\x80\xa2 begeleiding bij het uitvoeren van fiscale adviezen en zorgen voor\r\nde nodigde documentatie en\r\n\r\n&nbsp; afstemming met\r\nnotarissen banken en advocaten\r\n\r\n\xe2\x80\xa2 advisering bij schenken en nalaten (waaronder adviezen op het\r\ngebied van testamenten en\r\n\r\n&nbsp; vermogensoverheveling\r\nnaar kinderen).\r\n\r\n\xe2\x80\xa2 bijstaan bij het oplossen van fiscale geschillen met de\r\nbelastingdienst desnoods door te\r\n\r\n&nbsp; procederen.\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n<b>Financi\xc3\xable\r\ndiensten</b>\r\n\r\n\xe2\x80\xa2 financi\xc3\xable planning en koersbepaling\r\n\r\n\xe2\x80\xa2 opstellen van Businessplannen (voor bij voorbeeld fusies en\r\nleningen)\r\n\r\n\xe2\x80\xa2 wij onderhouden nauwe contacten met lokale banken voor:\r\n\r\n&nbsp; - het openen van\r\neen Nederlandse bankrekening\r\n\r\n&nbsp; - het verkrijgen\r\nvan leningen\r\n\r\n\xe2\x80\xa2 advisering omtrent opbouw van oudedagsvoorzieningen\r\npensioenopbouw\r\n\r\n&nbsp; (al dan niet in\r\neigen beheer) etc. inclusief fiscale aandachtspunten\r\n<b>Fiscale\r\nboekhouding</b>\r\n\r\n\xe2\x80\xa2 commerci\xc3\xable cijfers vertalen in fiscale cijfers d.w.z. bepalen welke\r\nposten in welke mate\r\n\r\n&nbsp; aftrekbaar zijn\r\nen onder welke voorwaarden.\r\n<b>Consultancy op\r\nhet gebied van verandermanagement</b>\r\n\r\n\xe2\x80\xa2 project- &amp; programmamanagement\r\n\r\n\xe2\x80\xa2 advies omtrent en begeleiding bij optimalisatie van:\r\n\r\n&nbsp; -\r\nbedrijfsvoering (processen/AO systemen e.d.)\r\n\r\n&nbsp; - automatisering\r\n\r\n&nbsp; - samenwerking\r\nen motivatie\r\n<b>Consultancy bij\r\nbedrijfsuitbreiding</b>\r\n\r\n\xe2\x80\xa2 ondersteuning bij diversificatie in producten &amp; markten\r\n\r\n\xe2\x80\xa2 gespecialiseerd in China Hong Kong en Duitsland\r\n<b>Mediation</b>\r\nBemiddeling bij bedrijfsinterne en externe\r\naangelegenheden zoals:\r\n\xe2\x80\xa2 arbeidsconflicten\r\n\r\n\xe2\x80\xa2 problemen rondom fusie en splitsing\r\n\r\n\xe2\x80\xa2 (fiscale) geschillen met de belastingdienst of andere instanties\r\n<b>WIE\r\nZIJN WIJ?</b>\r\n\r\n\r\n\r\n<b>mr Kin Wing Kan</b><b></b> fiscalist aangesloten bij het Register Belastingadviseurs.\r\nAfgeronde studie fiscaal recht te Leiden jarenlang\r\nwerkzaam bij diverse (inter)nationale accountants- en belastingadvieskantoren\r\n\r\nsinds 2009 zelfstandig door oprichting van PNO\r\nBelastingadvies.\r\n\r\nBusiness talen: Nederlands Engels Kantonees Ha Ka. \r\n\r\nNederlands-Kantonese achtergrond tweetalig.\r\nLinkedIn profiel: https://nl.linkedin.com/in/kinwingkan&nbsp; (google search: Kin Wing Kan)\r\n<b>drs Sascha\r\nSch\xc3\xbctz MBA</b>\r\nBusiness Consultant \r\nAfgeronde studie Alfa Informatica (Universiteit van\r\nAmsterdam) \r\n\r\nafgeronde MBA (European University The Hague) mediation\r\nopleiding (Mediation Gilde) \r\n\r\njarenlang werkzaam als projectmanager programma- en\r\nportfoliomanager en leidinggevende\r\n\r\nsinds 2012 werkzaam als adviseur bij PNO Belastingadvies.\r\n\r\nBusiness talen: Nederlands Engels Duits; basiskennis\r\nKantonees. \r\n\r\nGeboren en getogen in Duitsland tweetalig.\r\nLinkedIn profiel: http://www.linkedin.com/in/saschaschutz&nbsp; (google search: Sascha Schutz)\r\nVerder\r\nbeschikken wij over een gecertificeerde boekhouder en een accountant.\r\n\r\n""",,https://nl.linkedin.com/in/kinwingkan,4.4520289,51.9825714,,,,,,,,,,,,
Direct Accountant,19932,HOUTEN,3994DG,Kokermolen ,www.directaccountants.nl,info@directaccountants.nl,030-8880125,accounting,Steigerbouw 18,b'Waarom Direct Accountants. Omdat de huidige tijd vraagt om een accountantsbureau dat in staat is directer online te rapporteren. Banken vragen hier ook om vanaf april 2010. Een jaarrekening die na langere tijd achteraf wordt opgemaakt heeft voor de ondernemer weinig waarde meer. De kerncompetenties van Direct Accountants zijn: 1.\tdirect boekhouding online en advies (ZZP-\xe2\x80\x98ers en kleinbedrijf) 2.\teigen administratie digitale controle en advies (MKB 5 \xe2\x80\x93 15 medewerkers) 3.\tdetachering per dagdeel controle en advies (MKB 5 \xe2\x80\x93 50 medewerkers) Direct pakket Een goede alerte boekhouding is de basis van succesvol ondernemen. Direct Accountants werkt met het Direct Pakket. Dit houdt in dat ondernemingen tot 15 medewerkers \xc3\xa9\xc3\xa9n bedrag per maand betalen voor alle verplichte fiscale aangiften online boekhoudpakket controle en advisering. Zo weet u per maand hoe uw onderneming er voor staat dat geeft rust en zekerheid.Specialismen:Accountancy gericht op de dienstverlenende markt.',https://twitter.com/directacc,http://nl.linkedin.com/in/vincentdrees/,5.177803333,52.029,,,,,,,,,,,,
eL&P Finance,33375,Zevenbergen,4761 BA,Gildelaan,www.elenp.nl,info@elenp.nl,0168-402615,accounting,None,b'',@eLenP_Finance,https://www.linkedin.com/company/el&p?trk=prof-following-company-logo,4.6063141,51.6408258,,,,,,,,,,,,
Den Dulk Accountants en Adviseurs,19087,ZOETERMEER,2718SK,Blauw-roodlaan ,www.dendulkaccountants.nl,info@dendulkaccountants.nl,079-8200230,accounting,Postbus 7087,b'\r\n\r\nDen Dulk Accountants &amp; Adviseurs is een jong en modern\r\naccountants- en advieskantoor in Zoetermeer. Met een hecht team van ervaren en\r\ngemotiveerde medewerkers zijn wij actief voor ondernemers in de meest\r\nuiteenlopende sectoren en branches van het midden- en kleinbedrijf. \r\n\r\nWij kennen de behoefte aan praktische ondersteuning. Aan\r\npersoonlijk advies dat u direct in uw dagelijkse praktijk toe kunt passen. En\r\naan een vast aanspreekpunt bij wie u altijd en overal terecht kunt. Daarom\r\nheeft u bij ons uw eigen contactpersoon voor al uw ondernemerszaken. Een\r\nvertrouwensman die kennis heeft van uw bedrijf en branche en bij wie u in\r\nprincipe alles \xe2\x80\x98over de schutting kunt gooien\xe2\x80\x99. Iemand die uw markt op de voet\r\nvolgt en er als het moet bovenop zit. Ook als het tegenzit.\r\n\r\nOnze aanpak daarbij is nuchter betrokken en\r\ntoekomstgericht. Als het nodig is zijn we constructief kritisch. Samen zorgen\r\nwe zo voor rust vertrouwen en maximaal rendement. Zodat u toekomt aan datgene\r\nwaar u goed in bent en plezier aan beleeft: ondernemen!',,,4.495512273,52.03564091,,,,,,,,,,,,
KSG,20661,REUVER,5953GX,Stationstraat,http://www.ksg.nl,ksg@ksg.nl,31774740000,accounting,Postbus 4785,b'KSG Accountants en belastingadviseurs voor het MKB.Gespecialiseerd in ondernemersbegeleiding zowel op fiscaal juridisch vlak.  Wij verzorgen ook uw administratie stellen graag uw jaarrekening op en zorgen voor de vereiste aangiften (inkomstenbelasting vennootschapsbelasting enz.) Gevestigd in Reuver Kessel &amp; Amstenrade.Gespecialiseerd in:Taxplanning Managementconsultancy Auditing Accountancy fiscaal en salaris Belastingadvies Salarisadministratie.',,https://www.linkedin.com/company/ksg-accountants-en-belastingadviseurs,6.07859,51.28335385,,,,,,,,,,,,
G-2,22032,ALMERE,1335BT,Meistraat,https: //www.g-2.nl,info@G-2.nl,036-5352752,managerial,Meistraat 27,b'Administratiekantoor G-2 is het adres voor alle financi\xc3\xable en fiscale zaken waar u als ZZP-er of VOF mee te maken hebt.\xc2\xa0U kunt bij ons terecht voor het laten verzorgen van uw financi\xc3\xable administratie jaarrekening aangiften omzet- en/of inkomstenbelasting en nog veel meer.Wij zijn betrokken bij u en uw bedrijf en denken met u mee om de juiste beslissingen te nemen. Daarnaast houden wij alle actuele (wets)ontwikkelingen nauwgezet bij waardoor we met de juiste kennis en inzet er voor kunnen zorgen dat uw bedrijf gezond en winstgevend is.',,nl.linkedin.com/in/elinevanderveen,5.289436429,52.40065714,,,,,,,,,,,,
RC Advies belastingadviseurs,28861,GRONINGEN,9731HH,Bieslookstraat ,www.rcadviesbelastingadviseurs.nl,rob@rcadviesbelastingadviseurs.nl,050-2809552,consultant,Bieslookstraat 31-1 Unit K,b'Bij RC ADVIES belastingadviseurs kunt u terecht voor alle aangiften jaarrekeningen en administraties loonadministraties fiscaal advies en advies op het gebied van arbeidsrecht. Voor zowel particulier ZZP-er en MKB. Ook begeleiden wij starters.',@rob_rcadvies,https://www.linkedin.com/pub/rob-c-van-kampen/21/335/8bb,6.60265625,53.23329375,,,,,,,,,,,,
Goedkoop Administratiekantoor,33413,Hardinxveld-Giessendam,3371 HG,Schouw,http://www.goedkoop-administratiekantoor.nl/,info@goedkoop-administratiekantoor.nl,0184 751027,managerial,None,b'Goedkoop Administratiekantoor is het administratiekantoor voor het MKB en levert een goed product tegen een scherpe prijs. Voor o.a. jaarrekeningen administraties en aangiften. Gevestigd te Hardinxveld-Giessendam en Hulshorst.',https://twitter.com/Goedkoopadmktr,https://www.linkedin.com/profile/view?trk=tab_pro&id=19524582,4.829083,51.829085,,,,,,,,,,,,
Zandstra Accountants,33622,Maassluis,3146 TE,Trasmolen,http://www.zandstra-acc.nl/,kantoor@zandstra-acc.nl,010 591 9193,accounting,None,b'',,,4.22523,51.940515,,,,,,,,,,,,
Orange Tax Services,33714,AMSTERDAM,1015 CS,Keizersgracht,orangetax.com,info@orangetax.nl,020-3080571,consultant,None,b'Orange Tax Services is a tax consultancy firm focussed on compliance with Dutch and international tax rules. In 2015 we will excist 10 years and during this period we have grown to an office that has clients from small startup companies to single payroll services to internationally known brands operating in the Netherlands.Our aim is to make the difference for the entrerpeneur or individual tax payer from abroad living and working in the Netherlands who need assistance with the tax formalities.&nbsp;Our team members are experienced highly educated and motivated. The client is charged per product such as payroll income tax and corporate tax returns 30% ruling applications. Regardless how much time is spend.&nbsp;However some services such as bookkeeping and tax advise can only be done on an hourly rate. But even the hourly rate is not the top rates you might expect international tax experts would charge.Have a Tax Question? Contact us!',,https://www.linkedin.com/profile/view?id=4892548&trk=spm_pic,4.8893081,52.3643311,,,,,,,,,,,,
BlauwAdvies Registeraccountants & Belastingadviseurs,33958,Amsterdam,1014BA,Kabelweg,http://www.blauwadvies.nl,info@blauwadvies.nl,020-2610989,accounting,None,b'Uw accountant en belastingadviseur in de regioBlauwAdvies biedt meer dan alleen accountancy en fiscale dienstverlening. Wij hechten veel waarde aan een persoonlijke relatie met onze klanten. Een relatie waarop u kunt bouwen bij uw vraagstukken ongeacht de grootte van uw organisatie of de branche waarin u werkzaam bent. Onze accountants en belastingadviseurs zijn deskundig en gaan pragmatisch te werk.Er is geen \xc3\xa9\xc3\xa9n ondernemer hetzelfde en dat betekent dus dienstverlening op maat. Niet alleen de wetgeving maar ook de specifieke omstandigheden bepalen hoe het palet van onze dienstverlening wordt samengesteld. Wij begeleiden onze klanten in het opzetten van hun complete administratief financieel en fiscaalstrategisch traject.',https://twitter.com/BlauwAdvies1,http://nl.linkedin.com/pub/blauwadvies-registeraccountants-belastingadviseurs/80/909/133,4.8470317,52.3955161,,,,,,,,,,,,
